title,price,area,rooms,floor,comandat,link,location
"OCAZIE- Inchiriez apartament 2 camere + living ,cu balcon vedere in Piata Unirii",890,96 mp utili,2 camere,Etaj 3/3,Circular,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/p-ta-unirii/apartament-de-inchiriat-2-camere-XV0F00BNF?lista=2350118,"Timisoara, zona P-ta Unirii"
"APARTAMENT DE LUX, ULTRACENTRAL, FACTURA CHIRIE LUNARA PE FIRMA",400,40 mp utili,o cameră,Etaj 1/2,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/ultracentral/garsoniera-de-inchiriat-XV0A00B0R?lista=2350118,"Timisoara, zona Ultracentral"
"Prima inchiriere , 9 Apartamente super lux in Piata Maria, intre 400 si 600 Eur",400,65 mp utili,2 camere,Etaj 1/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/sinaia/apartament-de-inchiriat-2-camere-XV0G001IT?lista=2350118,"Timisoara, zona Sinaia"
"AP.2 CAMERE , ULTRALUX , ZONA STADION - OLIMPIA",450,58 mp utili,2 camere,Etaj 7,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-2-camere-XV0B00ETR?lista=2350118,"Timisoara, zona Complex Studentesc"
"Ultracentral , apartament lux ,2 camere",450,58 mp utili,2 camere,Etaj 1/2,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-2-camere-XV0G00AAT?lista=2350118,"Timisoara, zona Ultracentral"
De inchiriat apartament 2 camere decomandat mobilat utilat,380,58 mp utili,2 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/dambovita/apartament-de-inchiriat-2-camere-XA1P0000S?lista=2350118,"Timisoara, zona Dambovita"
Apartament 2 camere Unirii,470,55 mp utili,2 camere,Etaj 2/2,Circular,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/p-ta-unirii/apartament-de-inchiriat-2-camere-X6EG00016?lista=2350118,"Timisoara, zona P-ta Unirii"
Semicentral lang Nokia si medicina 2 - River view,370,54 mp utili,2 camere,Etaj 1/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/semicentral/apartament-de-inchiriat-2-camere-X48800060?lista=2350118,"Timisoara, zona Semicentral"
"Garsoniera Ultracentrala, Piata 700 !!",250,25 mp utili,o cameră,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/ultracentral/garsoniera-de-inchiriat-XA7S0000C?lista=2350118,"Timisoara, zona Ultracentral"
"Închiriez ap o cameraPiata 700, 330 euro",330,44 mp utili,o cameră,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/central/garsoniera-de-inchiriat-X7A7000BJ?lista=2350118,"Timisoara, zona Central"
"OT003 Torontalului, Prima Inchiriere, Loc Parcare-Subteran",350,40 mp utili,2 camere,Etaj 6/7,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/torontalului/apartament-de-inchiriat-2-camere-X7SO000DI?lista=2350118,"Timisoara, zona Torontalului"
Inchiriez apartament cu 4 camere central renovat utilat,3.000,120 mp utili,4 camere,Parter,3.000,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-4-camere-XV0E00OR7?lista=2350118,"Timisoara, zona Complex Studentesc"
